strace: option requires an argument -- 'p'
Try 'strace -h' for more information.
Picked up JAVA_TOOL_OPTIONS:  -javaagent:/home/elastic/elastic-apm-agent-1.30.1.jar -Delastic.apm.log_ecs_reformatting=OVERRIDE
[pid   209] 1652626336.031935 stat("/app/net/bytebuddy/asm/Advice$AssignReturned$ToReturned.class", 0x7feb570d7910) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626336.033042 stat("/app/net/bytebuddy/asm/Advice$OnMethodExit.class", 0x7feb570d7910) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626336.036650 stat("/app/net/bytebuddy/asm/Advice$This.class", 0x7feb570d75d0) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626336.038241 stat("/app/co/elastic/apm/agent/bci/bytebuddy/SimpleMethodSignatureOffsetMappingFactory$SimpleMethodSignature.class", 0x7feb570d75d0) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626336.039486 stat("/app/net/bytebuddy/asm/Advice$Enter.class", 0x7feb570d7870) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626336.040579 stat("/app/net/bytebuddy/asm/Advice$Thrown.class", 0x7feb570d7870) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626336.047982 stat("/app/org/slf4j/ext/EventData.class", 0x7feb570d89a0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626336.085540 stat("/app/META-INF/services/java.nio.file.spi.FileSystemProvider", 0x7feb570d6000) = -1 ENOENT (No such file or directory) <0.000032>
[pid   209] 1652626339.863184 stat("/app/org/apache/http/impl/execchain/ClientExecChain.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000034>
[pid   209] 1652626339.863742 stat("/app/org/apache/http/nio/client/HttpAsyncClient.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000032>
[pid   209] 1652626339.864294 stat("/app/co/elastic/apm/api/CaptureTransaction.class", 0x7feb570d8b50) = -1 ENOENT (No such file or directory) <0.000032>
[pid   209] 1652626339.864711 stat("/app/co/elastic/apm/api/CaptureSpan.class", 0x7feb570d8b50) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.865095 stat("/app/co/elastic/apm/api/Traced.class", 0x7feb570d8b50) = -1 ENOENT (No such file or directory) <0.000033>
[pid   209] 1652626339.865479 stat("/app/org/asynchttpclient/AsyncHandler.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.865863 stat("/app/com/datastax/driver/core/BoundStatement.class", 0x7feb570d8b50) = -1 ENOENT (No such file or directory) <0.000044>
[pid   209] 1652626339.866252 stat("/app/org/grails/web/mapping/mvc/GrailsControllerUrlMappingInfo.class", 0x7feb570d8b50) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626339.866607 stat("/app/org/hibernate/search/FullTextQuery.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626339.867033 stat("/app/io/javalin/http/Handler.class", 0x7feb570d8b50) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.867382 stat("/app/io/javalin/http/Handler.class", 0x7feb570d8b50) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626339.867759 stat("/app/javax/ws/rs/Path.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626339.868101 stat("/app/jakarta/ws/rs/Path.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626339.870122 stat("/app/javax/jms/Message.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000042>
[pid   209] 1652626339.870579 stat("/app/javax/jms/Message.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626339.871000 stat("/app/javax/jms/Message.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626339.871407 stat("/app/javax/jms/Message.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000030>
